186,-187.639,96.598,0.487
187,-187.155,96.619,0.485
188,-186.670,96.631,0.484
189,-186.185,96.637,0.485
190,-185.701,96.640,0.485
191,-185.216,96.641,0.485
192,-184.731,96.642,0.485
193,-184.246,96.645,0.485
194,-183.761,96.650,0.485
195,-183.277,96.653,0.485
196,-182.792,96.652,0.483
197,-182.307,96.645,0.482
198,-181.823,96.628,0.482
199,-181.339,96.599,0.482
200,-180.856,96.554,0.482
201,-180.375,96.493,0.484
202,-179.898,96.410,0.485
203,-179.424,96.306,0.485
204,-178.956,96.181,0.485
205,-178.492,96.040,0.483
206,-178.033,95.885,0.479
207,-177.578,95.718,0.476
208,-177.126,95.541,0.472
209,-176.677,95.358,0.469
210,-176.230,95.170,0.469
211,-175.784,94.980,0.470
212,-175.338,94.790,0.472
213,-174.892,94.601,0.472
214,-174.445,94.413,0.472
215,-173.998,94.225,0.472
216,-173.551,94.039,0.470
217,-173.103,93.852,0.469
218,-172.655,93.666,0.469
219,-172.208,93.480,0.469
220,-171.760,93.293,0.469
221,-171.313,93.106,0.469
222,-170.866,92.919,0.469
223,-170.419,92.730,0.469
224,-169.973,92.541,0.467
225,-169.527,92.350,0.466
226,-169.082,92.158,0.464
227,-168.638,91.965,0.462
228,-168.194,91.770,0.461
229,-167.751,91.573,0.461
230,-167.308,91.376,0.462
231,-166.866,91.177,0.461
232,-166.424,90.977,0.459
233,-165.983,90.776,0.457
234,-165.542,90.573,0.456
235,-165.102,90.370,0.454
236,-164.663,90.166,0.453
237,-164.223,89.961,0.454
238,-163.785,89.755,0.454
239,-163.346,89.548,0.454
240,-162.908,89.340,0.454
241,-162.470,89.132,0.452
242,-162.033,88.923,0.450
243,-161.595,88.714,0.448
244,-161.158,88.504,0.445
245,-160.722,88.293,0.443
246,-160.285,88.083,0.443
247,-159.849,87.871,0.443
248,-159.413,87.660,0.443
249,-158.977,87.448,0.443
250,-158.541,87.236,0.442
251,-158.105,87.024,0.440
252,-157.669,86.812,0.438
253,-157.233,86.599,0.438
254,-156.797,86.387,0.438
255,-156.361,86.174,0.438
256,-155.926,85.962,0.438
257,-155.490,85.749,0.438
258,-155.054,85.537,0.438
259,-154.618,85.324,0.437
260,-154.183,85.112,0.433
261,-153.747,84.900,0.430
262,-153.311,84.687,0.426
263,-152.875,84.475,0.421
264,-152.439,84.263,0.418
265,-152.003,84.051,0.417
266,-151.567,83.839,0.415
267,-151.131,83.627,0.413
268,-150.695,83.415,0.412
269,-150.259,83.204,0.412
270,-149.822,82.993,0.412
271,-149.386,82.782,0.412
272,-148.949,82.571,0.412
273,-148.513,82.360,0.412
274,-148.076,82.150,0.410
275,-147.639,81.940,0.408
276,-147.202,81.730,0.406
277,-146.765,81.521,0.405
278,-146.327,81.312,0.403
279,-145.890,81.103,0.401
280,-145.452,80.895,0.397
281,-145.014,80.687,0.395
282,-144.576,80.479,0.394
283,-144.138,80.272,0.392
284,-143.699,80.065,0.390
285,-143.261,79.858,0.388
286,-142.822,79.652,0.385
287,-142.383,79.447,0.381
288,-141.943,79.242,0.378
289,-141.504,79.037,0.377
290,-141.064,78.833,0.375
291,-140.624,78.629,0.373
292,-140.184,78.426,0.371
293,-139.744,78.222,0.366
294,-139.304,78.019,0.361
295,-138.863,77.817,0.357
296,-138.423,77.615,0.354
297,-137.982,77.412,0.351
298,-137.541,77.211,0.350
299,-137.101,77.009,0.350
300,-136.660,76.808,0.350
301,-136.218,76.607,0.351
302,-135.777,76.406,0.350
303,-135.336,76.205,0.347
304,-134.895,76.004,0.342
305,-134.453,75.803,0.337
306,-134.012,75.603,0.332
307,-133.571,75.402,0.327
308,-133.129,75.202,0.322
309,-132.688,75.002,0.317
310,-132.246,74.801,0.312
311,-131.805,74.601,0.307
312,-131.363,74.401,0.301
313,-130.922,74.200,0.294
314,-130.480,74.000,0.287
315,-130.039,73.799,0.281
316,-129.598,73.599,0.277
317,-129.156,73.398,0.276
318,-128.715,73.197,0.273
319,-128.274,72.997,0.270
320,-127.833,72.795,0.267
321,-127.392,72.594,0.261
322,-126.951,72.393,0.254
323,-126.510,72.191,0.248
324,-126.069,71.989,0.239
325,-125.628,71.787,0.227
326,-125.188,71.585,0.214
327,-124.747,71.383,0.200
328,-124.307,71.180,0.187
329,-123.867,70.977,0.173
330,-123.426,70.774,0.160
331,-122.986,70.570,0.147
332,-122.547,70.366,0.132
333,-122.107,70.162,0.117
334,-121.667,69.957,0.102
335,-121.228,69.753,0.087
336,-120.789,69.547,0.072
337,-120.350,69.342,0.060
338,-119.911,69.136,0.050
339,-119.472,68.929,0.043
340,-119.034,68.723,0.042
341,-118.595,68.515,0.044
342,-118.157,68.308,0.047
343,-117.719,68.100,0.054
344,-117.282,67.891,0.060
345,-116.844,67.682,0.065
346,-116.407,67.473,0.070
347,-115.970,67.263,0.075
348,-115.533,67.052,0.078
349,-115.097,66.841,0.080
350,-114.661,66.630,0.081
351,-114.225,66.418,0.081
352,-113.789,66.206,0.082
353,-113.353,65.993,0.084
354,-112.918,65.780,0.086
355,-112.482,65.567,0.087
356,-112.047,65.353,0.089
357,-111.612,65.139,0.091
358,-111.177,64.925,0.092
359,-110.742,64.711,0.094
360,-110.308,64.496,0.096
361,-109.873,64.281,0.097
362,-109.439,64.066,0.095
363,-109.004,63.851,0.093
364,-108.570,63.635,0.091
365,-108.136,63.419,0.087
366,-107.702,63.204,0.085
367,-107.268,62.988,0.084
368,-106.833,62.772,0.080
369,-106.399,62.556,0.077
370,-105.965,62.340,0.073
371,-105.531,62.124,0.070
372,-105.097,61.908,0.067
373,-104.663,61.692,0.063
374,-104.229,61.477,0.061
375,-103.795,61.261,0.060
