"31/01/2018,","17:15:02.025844,"
"31/01/2018,","17:15:02.025953,"
"31/01/2018,","17:15:02.025996,"
"31/01/2018,","17:15:02.026095,"
"31/01/2018,","17:15:02.026144,"
"31/01/2018,","17:15:02.026222,"
"31/01/2018,","17:15:02.026285,"
"31/01/2018,","17:15:02.026339,"
"31/01/2018,","17:15:02.026402,"
"31/01/2018,","17:15:02.026482,"
"31/01/2018,","17:15:02.026541,"
"31/01/2018,","17:15:02.026593,"
"31/01/2018,","17:15:02.026657,"
"31/01/2018,","17:15:02.026733,"
"31/01/2018,","17:15:02.026791,"
"31/01/2018,","17:15:02.026842,"
"31/01/2018,","17:15:02.026905,"
"31/01/2018,","17:15:02.026987,"
"31/01/2018,","17:15:02.027078,"
"31/01/2018,","17:15:02.027152,"
"31/01/2018,","17:15:02.027215,"
"31/01/2018,","17:15:02.027299,"
"31/01/2018,","17:15:02.027350,"
"31/01/2018,","17:15:02.027401,"
"31/01/2018,","17:15:02.027466,"
"31/01/2018,","17:15:02.027549,"
"31/01/2018,","17:15:02.027598,"
"31/01/2018,","17:15:02.027649,"
"31/01/2018,","17:15:02.027714,"
"31/01/2018,","17:15:02.027752,"
"31/01/2018,","17:15:02.027812,"
"31/01/2018,","17:15:02.027863,"
"31/01/2018,","17:15:02.027930,"
"31/01/2018,","17:15:02.028027,"
"31/01/2018,","17:15:02.028100,"
"31/01/2018,","17:15:02.028163,"
"31/01/2018,","17:15:02.028213,"
"31/01/2018,","17:15:02.028273,"
"31/01/2018,","17:15:02.028356,"
"31/01/2018,","17:15:02.028405,"
"31/01/2018,","17:15:02.028457,"
"31/01/2018,","17:15:02.028504,"
"31/01/2018,","17:15:02.028554,"
"31/01/2018,","17:15:02.028626,"
"31/01/2018,","17:15:02.028712,"
"31/01/2018,","17:15:02.028757,"
"31/01/2018,","17:15:02.028826,"
"31/01/2018,","17:15:02.028896,"
"31/01/2018,","17:15:02.028959,"
"31/01/2018,","17:15:02.029011,"
"31/01/2018,","17:15:02.029076,"
"31/01/2018,","17:15:02.029171,"
"31/01/2018,","17:15:02.029243,"
"31/01/2018,","17:15:02.029307,"
"31/01/2018,","17:15:02.029356,"
"31/01/2018,","17:15:02.029418,"
"31/01/2018,","17:15:02.029502,"
"31/01/2018,","17:15:02.029561,"
"31/01/2018,","17:15:02.029626,"
"31/01/2018,","17:15:02.029702,"
"31/01/2018,","17:15:02.029752,"
"31/01/2018,","17:15:02.029803,"
"31/01/2018,","17:15:02.029897,"
"31/01/2018,","17:15:02.029960,"
"31/01/2018,","17:15:02.030039,"
"31/01/2018,","17:15:02.030118,"
"31/01/2018,","17:15:02.030195,"
"31/01/2018,","17:15:02.030273,"
"31/01/2018,","17:15:02.030363,"
"31/01/2018,","17:15:02.030430,"
"31/01/2018,","17:15:02.030595,"
"31/01/2018,","17:15:02.030660,"
"31/01/2018,","17:15:02.030713,"
"31/01/2018,","17:15:02.030782,"
"31/01/2018,","17:15:02.030862,"
"31/01/2018,","17:15:02.030911,"
"31/01/2018,","17:15:02.030963,"
"31/01/2018,","17:15:02.031057,"
"31/01/2018,","17:15:02.031121,"
"31/01/2018,","17:15:02.031173,"
"31/01/2018,","17:15:02.031239,"
"31/01/2018,","17:15:02.031323,"
"31/01/2018,","17:15:02.031379,"
"31/01/2018,","17:15:02.031444,"
"31/01/2018,","17:15:02.031524,"
"31/01/2018,","17:15:02.031577,"
"31/01/2018,","17:15:02.031629,"
"31/01/2018,","17:15:02.031698,"
"31/01/2018,","17:15:02.031783,"
"31/01/2018,","17:15:02.031836,"
"31/01/2018,","17:15:02.031899,"
"31/01/2018,","17:15:02.031980,"
"31/01/2018,","17:15:02.032029,"
"31/01/2018,","17:15:02.032096,"
"31/01/2018,","17:15:02.032176,"
"31/01/2018,","17:15:02.032236,"
"31/01/2018,","17:15:02.032286,"
"31/01/2018,","17:15:02.032349,"
"31/01/2018,","17:15:02.032428,"
"31/01/2018,","17:15:02.032478,"
"31/01/2018,","17:15:02.032545,"
